ExperienceLevel,Title,Normalized_Skill
Experienced,Project Manager,"['change management', 'data-driven reporting and dashboards', 'team management and conflict resolution', 'use of ms project, primavera, jira, trello', 'stakeholder communication', 'reporting and dashboards', 'reporting and dashboard creation', 'team leadership and mentoring', 'advanced budgeting and resource allocation', 'project scheduling and execution', 'risk assessment and mitigation', 'use of jira, ms project, primavera', 'team leadership and conflict resolution', 'end-to-end project management', 'advanced project scheduling and planning', 'strategic project management', 'advanced scheduling and budgeting', 'strategic planning', 'stakeholder management and negotiation', 'risk management and mitigation', 'use of project management tools (ms project, jira, trello, asana)', 'use of project management tools (ms project, primavera, jira, trello, asana)', 'budget and resource management', 'stakeholder engagement and communication', 'budgeting and resource management', 'use of ms project, primavera, jira', 'risk and quality management', 'stakeholder communication and engagement', 'strategic alignment with business goals', 'project strategy and execution', 'stakeholder engagement and negotiation', 'project planning and execution', 'risk and quality oversight', 'use of project management software (ms project, jira, trello, asana)', 'advanced project planning and scheduling', 'cross-functional collaboration', 'conflict resolution', 'advanced project planning', 'resource allocation', 'budgeting and resource allocation', 'project lifecycle management', 'scheduling and budgeting', 'reporting and analytics', 'data-driven reporting', 'use of pm tools (ms project, jira, trello, asana)', 'stakeholder management and communication', 'advanced project planning and execution', 'strategic project alignment', 'stakeholder engagement', 'stakeholder management', 'advanced project management', 'advanced scheduling, budgeting, and resource allocation', 'strategic alignment', 'use of project management tools (ms project, jira, trello)', 'team leadership', 'data-driven decision making']"
Experienced,Python Developer,"['leadership', 'kubernetes', 'pytorch', 'django', 'python advanced', 'fastapi', 'sqlalchemy', 'rest apis', 'project management', 'aws', 'generators', 'tensorflow basics', 'docker', 'flask', 'graphql', 'docker basics', 'mysql', 'innovation management', 'graphql basics', 'nosql basics', 'postgresql', 'kubernetes basics', 'pytorch basics', 'tensorflow', 'decorators', 'flask advanced', 'metaprogramming', 'aws basics', 'innovation', 'nosql', 'team collaboration', 'django advanced', 'scikit-learn', 'pytest advanced', 'async programming']"
Experienced,Robotics Engineer,"['simulation (gazebo, rviz)', 'leadership', 'advanced robotics control', 'innovation strategy', 'innovation in robotics', 'ml in robotics', 'problem solving', 'machine learning in robotics', 'embedded systems design', 'robotics control theory', 'simulation tools', 'python advanced', 'lidar and vision sensors', 'ros development', 'cross-team collaboration', 'gazebo, rviz', 'arduino/raspberry pi advanced', 'project management', 'sensor integration and fusion', 'matlab', 'gazebo, rviz simulation', 'advanced robotics control algorithms', 'machine learning basics for robotics', 'cad/solidworks advanced', 'hardware debugging', 'innovation management', 'robotics control algorithms', 'project strategy', 'embedded systems', 'c++ advanced', 'advanced cad/solidworks', 'python expert', 'machine learning applications', 'cross-functional collaboration', 'control algorithms', 'advanced python', 'team management', 'control theory', 'cad/solidworks', 'sensor fusion', 'computer vision', 'embedded systems expert', 'simulation tools (gazebo, rviz)', 'advanced cad', 'hardware interfacing', 'c++ expert', 'control systems advanced', 'control algorithms advanced', 'ros advanced', 'solidworks advanced', 'project leadership', 'innovation', 'team mentoring', 'ros advanced development', 'team collaboration', 'machine learning', 'team leadership', 'advanced c++', 'embedded systems advanced', 'advanced control theory']"
Experienced,SEO Specialist,"['privacy-compliant seo strategies', 'schema markup and structured data implementation', 'crawlability, indexing, and site structure optimization', 'link building and outreach', 'ai and machine learning in seo', 'seo strategy and execution', 'search console', 'stakeholder communication', 'local seo optimization', 'ai-powered seo tools', 'analytics and reporting', 'schema markup and structured data', 'seo strategy and planning', 'privacy-compliant seo', 'crawlability and indexing optimization', 'content optimization', 'google analytics ga4', 'content strategy and optimization', 'seo strategy', 'ai-driven seo tools', 'local seo strategy', 'privacy compliance (gdpr)', 'link building', 'local and mobile seo optimization', 'voice and visual search optimization', 'ai-driven seo insights', 'link building strategy', 'analytics and reporting (ga4, looker studio)', 'page speed and performance optimization', 'technical seo audits', 'content strategy and seo copywriting', 'link building campaigns', 'seo strategy and roadmap', 'advanced technical seo', 'multimodal search optimization', 'advanced on-page and off-page seo', 'page speed and mobile optimization', 'content marketing optimization', 'seo strategy development', 'local seo and voice search optimization', 'looker studio', 'mobile seo optimization', 'analytics and reporting (ga4, looker studio, search console)', 'advanced content strategy']"
Experienced,SOC Analyst,"['qradar', 'splunk', 'network defense', 'python scripting', 'incident response', 'siem tools']"
Experienced,Sales Executive,"['social selling', 'negotiation', 'hubspot', 'sales automation', 'data-driven sales', 'relationship management', 'salesforce', 'lead generation', 'predictive analytics', 'closing techniques']"
Experienced,Senior Android Developer,"['unit testing', 'kotlin', 'dagger', 'room', 'rest apis', 'clean architecture', 'ci/cd', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Senior Android Engineer,"['unit testing', 'kotlin', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Experienced,Senior Cloud Architect,"['leadership', 'aws multi-cloud', 'ansible', 'devops automation', 'cloudformation', 'kubernetes orchestration', 'azure networking']"
Experienced,Senior Incident Response Analyst,"['threat hunting', 'malware analysis', 'qradar', 'splunk', 'forensics', 'incident response']"
Experienced,Senior Interaction Designer,"['micro-interactions', 'after effects', 'prototyping', 'principle', 'figma']"
Experienced,Senior Network Engineer,"['palo alto', 'cisco asa', 'nagios', 'sd-wan', 'zero trust security']"
Experienced,Senior Security Analyst,"['cloud security', 'vulnerability management', 'compliance (gdpr, pci-dss)', 'powershell', 'logrhythm']"
Experienced,Senior System Engineer,"['docker', 'windows server', 'grafana', 'powershell', 'active directory']"
Experienced,Senior UX Designer,"['a/b testing', 'design systems', 'axure', 'user research', 'journey mapping', 'adobe xd', 'accessibility standards', 'sketch', 'principle', 'figma']"
Experienced,Senior iOS Developer,"['core data', 'swift', 'graphql', 'ci/cd', 'objective-c', 'mvvm', 'github actions']"
Experienced,Senior iOS Engineer,"['jenkins', 'core data', 'swift', 'graphql', 'crashlytics', 'core animation', 'xcode', 'objective-c']"
Experienced,Site Reliability Engineer,"['time management', 'distributed systems', 'leadership', 'communication', 'ci/cd pipelines (jenkins, bamboo, github actions)', 'docker, kubernetes advanced', 'java scripting', 'cloud platforms expert (aws, azure, gcp)', 'bash scripting', 'windows server administration', 'iac (terraform, ansible, puppet)', 'monitoring & logging (prometheus, grafana, elk, nagios, splunk)', 'go programming', 'aws, azure, gcp expert', 'python advanced', 'distributed systems architecture', 'security and compliance knowledge', 'linux expert', 'linux/windows administration', 'bash scripting expert', 'aws, azure, gcp', 'monitoring & logging', 'ci/cd pipelines (jenkins, github actions, bamboo)', 'linux/windows', 'ci/cd pipelines expert', 'aws, azure, gcp advanced', 'security and compliance', 'distributed systems management', 'security compliance', 'windows server', 'docker, kubernetes expert', 'monitoring & logging expert (prometheus, grafana, elk, nagios, splunk)', 'monitoring & logging (prometheus, grafana, elk)', 'security and compliance basics', 'python, go, java', 'cloud expert (aws, azure, gcp)', 'ci/cd pipelines (jenkins, github actions)', 'python, go', 'infrastructure as code (terraform, ansible, puppet, chef)', 'automation and scripting', 'cloud (aws, azure, gcp)', 'monitoring and logging (prometheus, grafana, elk stack, nagios, splunk)', 'ci/cd pipelines expert (jenkins, bamboo, github actions)', 'iac (terraform, ansible)', 'cloud platforms (aws, azure, gcp)', 'collaboration', 'docker, kubernetes', 'distributed systems design and management', 'automation scripting', 'distributed systems design', 'infrastructure as code (terraform, ansible)', 'ci/cd pipelines', 'linux administration', 'linux administration expert', 'networking (tcp/ip, dns, cdn, load balancing)', 'monitoring & logging tools', 'go, java', 'monitoring (prometheus, grafana, elk, nagios, splunk)', 'infrastructure as code (terraform, ansible, puppet)', 'monitoring (prometheus, grafana, elk stack, nagios, splunk)', 'networking (tcp/ip, dns, load balancing)', 'linux/windows expert', 'bash/zsh scripting', 'cloud platforms expert', 'monitoring and logging tools (prometheus, grafana, elk stack)', 'windows administration', 'automation', 'ci/cd (jenkins, bamboo, github actions)', 'networking (tcp/ip, dns, load balancing, cdn)', 'networking', 'iac (terraform, ansible, puppet, chef)', 'linux/windows administration expert', 'problem-solving']"
Experienced,Software Developer - Experienced,"['git', 'kubernetes', 'c++', 'csharp', 'ci/cd', 'django', 'azure', 'java', 'react', 'vue.js', 'aws', 'docker', 'python', 'angular', 'agile', 'agile/scrum', 'sql', 'spring boot', 'nosql', 'microservices', 'node.js', 'javascript/typescript', 'team leadership']"
Experienced,Software Engineer - Experienced,"['unit testing', 'git', 'kubernetes', 'typescript', 'html', 'ci/cd', 'django', 'java', 'mentoring', 'rest apis', 'react', 'aws', 'docker', 'python', 'angular', 'redux', 'agile', 'postgresql', 'sql', 'express', 'mongodb', 'spring boot', 'testing', 'microservices', 'javascript', 'debugging', 'node.js', 'team leadership', 'css', 'machine learning']"
Experienced,Software Tester (SDET),"['automation strategy', 'ci/cd integration (jenkins, bamboo)', 'code review', 'python advanced', 'cross-team collaboration', 'appium', 'mentoring', 'testng', 'selenium webdriver', 'ci/cd integration', 'cypress', 'test data management', 'api testing advanced', 'advanced python', 'advanced java', 'ci/cd (jenkins, bamboo, azure devops)', 'test automation', 'agile leadership', 'performance testing', 'jmeter', 'api testing', 'metrics-driven qa', 'test automation strategy', 'team mentoring', 'team collaboration', 'performance and load testing', 'c# advanced', 'defect metrics', 'strategic qa planning', 'ci/cd integration (jenkins, azure devops)', 'defect management metrics']"
Experienced,Solutions Architect,"['terraform', 'leadership', 'kubernetes', 'ci/cd', 'azure', 'gcp', 'java', 'project management', 'aws', 'docker', 'python', 'security compliance', 'security protocols', 'ci/cd pipelines', 'collaboration', 'stakeholder engagement', 'stakeholder management', 'project leadership', 'microservices', 'node.js', 'cloudformation', 'problem-solving']"
Experienced,Staff UX Designer,"['invision', 'a/b testing', 'design systems', 'user research', 'figma']"
Experienced,System Engineer,"['terraform', 'aws', 'kubernetes', 'system architecture', 'linux', 'windows server', 'vmware', 'security compliance', 'linux administration', 'python scripting', 'powershell', 'nagios', 'active directory']"
Experienced,System Engineer - Automation Specialist,"['bash', 'python', 'linux', 'vmware', 'ansible']"
Experienced,System Engineer - Cloud & Automation,"['aws', 'docker', 'python', 'ansible', 'azure']"
Experienced,System Engineer - Cloud Focus,"['terraform', 'aws', 'linux', 'azure', 'nagios']"
Experienced,System Engineer - DevOps Integration,"['kubernetes', 'docker', 'linux', 'ci/cd', 'ansible']"
Experienced,System Engineer - Monitoring,"['linux', 'windows server', 'grafana', 'automation scripts', 'nagios']"
Experienced,System Engineer - Security,"['compliance', 'firewalls', 'aws iam', 'linux security', 'powershell']"
Experienced,System Engineer - Virtualization,"['docker', 'linux', 'vmware', 'networking', 'hyper-v']"
Experienced,Technical Writer,"['advanced editing', 'madcap flare', 'ai-assisted documentation', 'advanced technical writing', 'api documentation', 'proofreading', 'cms', 'technical documentation', 'xml/html/css', 'structured authoring', 'version control', 'adobe framemaker', 'ux documentation']"
Experienced,Telecom & Network Engineer,"['voip', 'sip', 'bgp', 'qos', 'cisco routers']"
Experienced,UI Designer,"['branding', 'leadership', 'a/b testing', 'html', 'micro-interactions', 'responsive design', 'js', 'principle', 'figma', 'design systems', 'prototyping', 'sketch', 'after effects', 'accessibility', 'usability testing', 'animation', 'interaction design', 'invision', 'user flows', 'ui/ux collaboration', 'team leadership', 'adobe xd', 'css']"
Experienced,UX Architect,"['design systems', 'agile ux', 'wcag', 'information architecture', 'prototyping', 'figma']"
Experienced,UX Consultant,"['design thinking', 'user research', 'agile ux', 'sketch', 'figma']"
Experienced,UX Design Lead,"['leadership', 'design systems', 'figma', 'agile ux', 'interaction design', 'accessibility']"
Experienced,UX Manager,"['design thinking', 'user research', 'figma', 'journey mapping', 'team leadership', 'accessibility']"
Experienced,UX Strategist,"['analytics', 'design systems', 'ux research', 'journey mapping', 'figma']"
Experienced,Web Developer,"['typescript', 'kubernetes', 'ci/cd', 'django', 'redis', 'rest apis', 'react', 'vue.js', 'aws', 'docker', 'angular', 'graphql', 'express.js', 'testing with jest', 'sql', 'mongodb', 'javascript', 'node.js', 'testing with jest/enzyme', 'testing frameworks']"
Experienced,iOS Application Developer,"['jenkins', 'core data', 'swift', 'core animation', 'xcode', 'firebase', 'objective-c']"
Experienced,iOS Architect,"['mvp', 'swift', 'ci/cd', 'jira', 'core animation', 'objective-c', 'mvvm']"
Experienced,iOS Developer,"['app store submission', 'git', 'swift', 'rest apis', 'cocoa touch', 'xcode', 'objective-c', 'mvvm']"
Experienced,iOS Mobile App Engineer,"['unit testing', 'kotlin', 'crashlytics', 'swift', 'firebase', 'objective-c', 'mvvm']"
Experienced,iOS Solutions Engineer,"['core data', 'swift', 'graphql', 'xcode instruments', 'performance tuning', 'objective-c']"
Experienced,iOS Tech Lead,"['agile/scrum', 'core data', 'swift', 'ci/cd', 'objective-c', 'rest apis']"
Fresher,.NET Developer,"['.net core basics', 'git', 'html', 'csharp', 'vb.net basics', 'mvc', '.net core fundamentals', 'asp.net basics', 'unit testing basics', 'aspnet', 'dotnet', 'linq', 'nunit basics', 'sql server', 'razor', 'vb.net', 'javascript basics', '.net framework', 'visual studio', '.net framework basics', 'entity framework basics', 'css']"
Fresher,AI Prompt Engineer,"['intro nlp', 'openai gpt models exposure', 'teamwork', 'python basics', 'communication', 'nlp basics', 'nlp introduction', 'prompt writing', 'openai gpt basics', 'introductory nlp', 'tensorflow basics', 'openai gpt intro', 'nltk basics', 'openai gpt models intro', 'pytorch basics', 'critical thinking', 'collaboration', 'hugging face basics', 'gpt models intro', 'javascript basics', 'spacy basics', 'intro to nlp', 'creativity', 'hugging face transformers basics', 'openai gpt model basics', 'problem-solving', 'prompt writing fundamentals', 'gpt model exposure']"
Fresher,AR/VR Developer,"['unreal engine basics', 'teamwork', 'communication', 'arcore basics', 'ui/ux fundamentals', 'motion tracking basics', '3d modeling basics', 'c# basics', 'blender basics', 'spatial computing basics', 'maya basics', 'c++ basics', 'unity basics', 'javascript basics', 'arkit basics', 'blender/maya basics', 'creativity', '3d modeling fundamentals', 'problem-solving']"
Fresher,Android App Developer Trainee,"['ui/ux basics', 'sqlite', 'git', 'kotlin', 'mvc', 'java', 'android studio', 'rest apis']"
Fresher,Android Developer Intern,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'mvc', 'java', 'rest api', 'android studio', 'rest apis']"
Fresher,Android Developer Trainee,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'rest api', 'android studio']"
Fresher,Android Development Intern,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'rest api', 'android studio']"
Fresher,Associate Android Developer,"['xml', 'sqlite', 'kotlin', 'git', 'ui/ux design', 'java', 'rest api', 'android studio']"
Fresher,Associate Cloud Architect,"['cloud database basics', 'aws basics', 'docker', 'azure basics', 'linux administration']"
Fresher,Associate Cybersecurity Analyst,"['wireshark', 'linux security', 'firewall basics', 'incident response', 'gdpr basics']"
Fresher,Associate Network Engineer,"['python basics', 'bash basics', 'dhcp', 'dns', 'cisco ios', 'subnetting']"
Fresher,Associate System Engineer,"['tcp/ip', 'perl basics', 'vmware', 'linux administration basics', 'cloud concepts']"
Fresher,Associate UX Designer,"['team collaboration', 'typography', 'user research basics', 'wireframes', 'adobe xd', 'prototyping', 'sketch', 'figma']"
Fresher,Associate iOS Engineer,"['git', 'swift', 'json', 'objective-c', 'rest apis']"
Fresher,Backend Developer - Entry Level,"['postgresql', 'flask', 'git', 'docker', 'python', 'restful api', 'express.js', 'django', 'redis', 'node.js', 'cloud basics', 'agile', 'ci/cd basics', 'mysql', 'graphql basics', 'java', 'mongodb']"
Fresher,Big Data Specialist,"['teamwork', 'python basics', 'hadoop (hdfs, hive, mapreduce)', 'analytical thinking', 'curiosity', 'nosql basics (mongodb, hbase)', 'apache nifi', 'spark basics', 'nosql basics', 'linux/unix basics', 'hadoop ecosystem basics', 'scala basics', 'etl concepts', 'hadoop (hdfs, mapreduce, hive, pig)', 'apache spark basics', 'apache nifi basics', 'java basics', 'hadoop (hdfs, mapreduce, hive)', 'talend', 'sql basics', 'talend basics', 'etl basics', 'problem-solving', 'hadoop basics']"
Fresher,Blockchain Developer,"['teamwork', 'git', 'python basics', 'communication', 'git basics', 'hyperledger', 'smart contract development', 'ethereum', 'cryptography fundamentals', 'smart contract testing', 'ethereum basics', 'smart contract implementation', 'truffle basics', 'dapps basics', 'dapps fundamentals', 'solidity basics', 'remix ide basics', 'cryptography basics', 'collaboration', 'c++ basics', 'java basics', 'adaptability', 'smart contracts', 'smart contract development and testing', 'hyperledger basics', 'corda basics', 'corda', 'smart contracts basics', 'truffle', 'problem-solving', 'ethereum fundamentals', 'remix ide']"
Fresher,Business Analyst,"['communication', 'basic data analysis', 'data analysis basics', 'agile fundamentals', 'data analysis', 'data interpretation', 'agile methodology awareness', 'research skills', 'power bi basics', 'collaboration', 'sql', 'requirement gathering', 'research', 'requirement documentation', 'team collaboration', 'sql basics', 'tableau basics', 'excel', 'problem-solving', 'documentation']"
Fresher,Cloud Architect,"['aws fundamentals', 'kubernetes basics', 'python basics', 'azure basics', 'bash scripting', 'gcp basics', 'cloud security fundamentals', 'docker introduction']"
Fresher,Cloud Solutions Associate,"['docker', 'cloud storage basics', 'linux administration', 'networking fundamentals', 'terraform basics', 'java basics']"
Fresher,Cloud Trainee,"['bash', 'cloud storage basics', 'python scripting', 'iam fundamentals', 'basic networking']"
Fresher,Content Writer,"['time management', 'adaptation of tone and style', 'wordpress basics', 'seo basics', 'ai tools exposure', 'cms basics', 'basic writing and grammar', 'digital marketing awareness', 'ai writing tools awareness', 'clarity in writing', 'writing clarity', 'research and fact-checking', 'basic seo', 'cms familiarity', 'fact-checking', 'communication skills', 'keyword usage', 'basic seo knowledge', 'editing and proofreading', 'adaptable tone and style', 'seo fundamentals', 'research skills', 'digital marketing basics', 'blog and article writing', 'ai tool awareness', 'proofreading', 'ai content tools awareness', 'tone and style adaptation', 'content research', 'writing and grammar', 'research', 'content creation', 'grammar and punctuation', 'creativity', 'content formatting', 'writing clarity and grammar', 'ai writing tool exposure']"
Fresher,Copywriter,"['time management', 'persuasive writing', 'communication', 'content editing and proofreading', 'basic seo practices', 'proofreading and editing', 'seo basics', 'ai writing tools awareness', 'ai writing tools', 'research and fact-checking', 'creativity and storytelling', 'basic seo', 'cms familiarity', 'cms basics (wordpress, hubspot)', 'basic seo knowledge', 'email and social media familiarity', 'persuasive copywriting', 'adaptable writing style', 'ai writing tool awareness', 'cms usage', 'tone and style adaptation', 'content research', 'grammar and punctuation mastery', 'grammar and punctuation', 'creativity', 'team collaboration', 'familiarity with digital marketing channels', 'research and accuracy', 'ai-assisted writing tools', 'clear and persuasive writing', 'storytelling']"
Fresher,Cybersecurity Analyst,"['wireshark', 'c++', 'python', 'linux basics', 'encryption basics', 'firewall configuration', 'incident response', 'nessus', 'snort']"
Fresher,Cybersecurity Intern,"['python', 'vulnerability assessment', 'antivirus tools', 'linux fundamentals', 'nist basics', 'snort']"
Fresher,Cybersecurity Support Analyst,"['wireshark', 'teamwork', 'cryptography basics', 'iso 27001 basics', 'firewall rules']"
Fresher,Cybersecurity Trainee,"['encryption fundamentals', 'wireshark', 'metasploit', 'linux security', 'c++ basics']"
Fresher,Data Analyst / Data Scientist Intern,"['matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, clustering', 'mysql', 'pandas', 'mongodb', 'numpy']"
Fresher,Data Engineer,"['data modeling basics', 'azure basics', 'linux', 'aws beginner', 'analytical thinking', 'spark fundamentals', 'java', 'hadoop fundamentals', 'python', 'spark basics', 'mysql', 'postgresql', 'airflow fundamentals', 'sql', 'etl fundamentals', 'scala basics', 'data structures', 'mongodb', 'java basics', 'aws basics', 'azure fundamentals', 'aws cloud basics', 'airflow basics', 'etl tools introduction', 'etl basics', 'aws s3 basics', 'hadoop basics']"
Fresher,Data Science Associate,"['postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: regression, classification, clustering', 'data preprocessing', 'data cleaning', 'mysql', 'pandas', 'numpy']"
Fresher,Data Science Intern,"['data wrangling', 'postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'data preprocessing', 'mysql', 'pandas', 'basic ml: logistic regression, clustering, decision trees', 'numpy']"
Fresher,Data Scientist - Entry Level,"['data wrangling', 'postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, regression, clustering', 'data preprocessing', 'mysql', 'pandas', 'mongodb', 'numpy']"
Fresher,Data Scientist - Fresher,"['postgresql', 'matplotlib', 'python', 'r', 'basic ml algorithms: regression, classification, clustering', 'seaborn', 'sql', 'mysql', 'pandas', 'numpy']"
Fresher,DevOps Engineer - Fresher,"['gcp awareness', 'git', 'kubernetes', 'python basics', 'jenkins', 'azure basics', 'bash basics', 'terraform/ansible awareness', 'gcp basics', 'ci/cd basics', 'azure awareness', 'docker', 'python', 'linux fundamentals', 'terraform awareness', 'python fundamentals', 'bash', 'github/gitlab', 'ansible awareness', 'aws awareness', 'aws basics', 'linux basics']"
Fresher,Digital Marketing Specialist,"['email marketing tools (mailchimp, hubspot) basics', 'cms (wordpress)', 'teamwork', 'social media marketing basics', 'communication', 'content creation and copywriting', 'basic marketing automation', 'google analytics', 'cms knowledge', 'sem basics', 'google ads', 'blogging', 'email marketing basics', 'instagram and linkedin marketing basics', 'communication skills', 'google analytics basics', 'instagram marketing basics', 'seo fundamentals', 'digital advertising basics', 'linkedin marketing basics', 'facebook ads manager basics', 'cms tools (wordpress)', 'cms tools', 'google ads basics', 'seo/sem fundamentals', 'instagram, linkedin basics', 'content creation', 'seo and sem fundamentals', 'adaptability', 'facebook ads manager', 'email marketing (mailchimp, hubspot basics)', 'creativity', 'copywriting', 'team collaboration', 'email marketing tools basics', 'blogging and copywriting', 'cms (wordpress) basics', 'social media marketing', 'google ads and facebook ads basics']"
Fresher,Entry Level Data Scientist,"['data wrangling', 'postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, regression, clustering', 'data cleaning', 'mysql', 'pandas', 'mongodb', 'numpy']"
Fresher,Entry-Level ML Engineer,"['feature engineering', 'ml basics: classification, regression, clustering, decision trees', 'git/github', 'ml libraries: scikit-learn, tensorflow, pytorch', 'python', 'r', 'visualization: matplotlib, seaborn', 'data preprocessing', 'java', 'statistics: probability, linear algebra']"
Fresher,Entry-Level Network Analyst,"['wireshark', 'tcp/ip', 'dns', 'nagios', 'subnetting']"
Fresher,Entry-Level Security Analyst,"['c++', 'metasploit', 'risk assessment basics', 'windows security', 'snort']"
Fresher,Entry-level Android Developer,"['xml', 'sqlite', 'kotlin', 'git', 'material design', 'java', 'rest api', 'android studio']"
Fresher,Entry-level iOS Developer,"['ui/ux basics', 'simulator', 'swift', 'cocoa touch', 'xcode', 'objective-c']"
Fresher,Ethical Hacker,"['teamwork', 'python basics', 'communication', 'bash scripting', 'analytical thinking', 'basic cryptography knowledge', 'linux (kali/parrot os) basics', 'vulnerability scanning basics', 'penetration testing fundamentals', 'cryptography fundamentals', 'bash scripting basics', 'web application security', 'networking basics', 'linux (kali linux/parrot os) basics', 'familiarity with nmap, sqlmap', 'familiarity with nmap and wireshark', 'vulnerability assessment', 'vulnerability assessment basics', 'web app security basics', 'ethical mindset', 'networking fundamentals', 'introduction to penetration testing', 'windows security basics', 'familiarity with metasploit and burp suite', 'ethical awareness', 'ethical compliance', 'basic cryptography understanding', 'familiarity with metasploit, wireshark', 'introductory penetration testing', 'linux and windows os basics', 'vulnerability scanning', 'basic knowledge of nmap, burp suite', 'basic vulnerability assessment', 'linux/windows os fundamentals', 'problem-solving', 'web application security basics']"
Fresher,Fintech Engineer,"['sql fundamentals', 'teamwork', 'python basics', 'communication', 'azure basics', 'cybersecurity fundamentals', 'cloud basics (aws/azure)', 'data analysis basics', 'financial domain knowledge', 'financial knowledge basics', 'introductory data science', 'api integration basics', 'intro to ml', 'financial products knowledge', 'aws/azure basics', 'collaboration', 'intro to machine learning', 'blockchain basics', 'cybersecurity awareness', 'javascript basics', 'api integration fundamentals', 'introductory machine learning', 'blockchain fundamentals', 'aws basics', 'adaptability', 'financial products understanding', 'sql basics', 'machine learning basics', 'agility', 'problem-solving', 'introductory ml', 'cybersecurity basics']"
Fresher,Fresher Data Scientist,"['matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, regression, clustering', 'mysql', 'pandas', 'mongodb', 'numpy']"
Fresher,Fresher ML Engineer,"['feature engineering', 'git/github', 'data visualization: matplotlib, seaborn', 'python', 'r', 'ml frameworks: scikit-learn, tensorflow, pytorch, keras', 'data preprocessing', 'statistics: probability, linear algebra', 'java', 'ml fundamentals: regression, classification, clustering, decision trees']"
Fresher,Full Stack Developer - Entry Level,"['git', 'html', 'django', 'django/flask', 'html5', 'react', 'vue.js', 'flask', 'javascript (es6+)', 'angular', 'mysql', 'postgresql', 'sql', 'css3', 'mongodb', 'nosql', 'javascript', 'node.js', 'css', 'python (django/flask)']"
Fresher,Game Developer,"['unreal engine basics', 'teamwork', 'python basics', 'communication', 'git basics', 'debugging basics', 'directx basics', 'opengl basics', 'animation basics', 'c# basics', 'game mechanics basics', 'game mechanics fundamentals', 'mobile/console platform awareness', 'animation fundamentals', 'physics and animation basics', 'mobile game awareness', 'mobile/console development basics', 'c++ basics', 'unity basics', 'java basics', 'adaptability', 'physics basics', 'creativity', 'physics and collision basics', 'directx/opengl basics']"
Fresher,Graduate Network Engineer,"['switching', 'lan/wan', 'python scripting basics', 'basic routing']"
Fresher,Graduate Security Analyst,"['python basics', 'nist basics', 'antivirus', 'snort', 'windows/linux basics']"
Fresher,Graduate iOS Developer,"['git', 'uikit', 'swift', 'cocoa touch', 'mvc', 'xcode']"
Fresher,Graphic Designer,"['basic html/css', 'time management', 'adaptability', 'creativity', 'adobe photoshop', 'communication', 'indesign', 'adobe indesign', 'adobe illustrator', 'typography', 'figma basics', 'illustrator', 'basic figma', 'photoshop', 'color theory']"
Fresher,IT Support - Networking Focus,"['network troubleshooting', 'lan/wan', 'dns', 'tcp/ip']"
Fresher,Information Security Analyst - Fresher,"['python', 'firewall basics', 'nessus', 'gdpr basics', 'snort']"
Fresher,IoT Engineer,"['bluetooth', 'teamwork', 'python basics', 'communication', 'actuator integration', 'lora basics', 'bluetooth and zigbee protocols', 'embedded systems design', 'embedded firmware understanding', 'google cloud iot basics', 'agile awareness', 'c basics', 'sensor and actuator integration', 'mqtt basics', 'zigbee', 'agile methodology awareness', 'ipv6 basics', 'tcp/ip basics', 'power bi basics', 'coap basics', 'sensor integration', 'zigbee basics', 'c++ basics', 'java basics', 'azure iot basics', 'mqtt', 'aws iot basics', 'tableau basics', 'problem-solving', 'embedded systems development', 'coap', 'cloud iot basics']"
Fresher,Java Developer,"['git', 'html', 'inheritance', 'sql (mysql/postgresql)', 'problem solving', 'collections framework', 'encapsulation', 'spring framework basics', 'testng basics', 'junit', 'networking basics', 'testng', 'database management', 'java collections', 'junit basics', 'spring basics', 'java apis', 'polymorphism', 'exception handling', 'servlets', 'concurrency basics', 'basic rest api knowledge', 'oop', 'java i/o', 'jsp', 'file handling', 'javascript basics', 'database basics', 'version control (git)', 'gradle', 'jdbc', 'sql queries', 'multithreading basics', 'core java', 'javascript', 'html/css', 'sql basics', 'team collaboration', 'hibernate basics', 'css', 'maven']"
Fresher,JavaScript Developer,"['teamwork', 'git', 'communication', 'git basics', 'responsive design', 'html5', 'core javascript es6+', 'react', 'rest api knowledge', 'vue.js basics', 'json', 'css3 basics', 'ajax/json', 'angular basics', 'javascript es6+', 'html5 basics', 'css3', 'adaptability', 'ajax', 'react basics', 'rest api basics', 'team collaboration', 'rest api integration', 'problem-solving', 'async programming']"
Fresher,Junior Android Developer,"['xml', 'git', 'kotlin', 'sqlite', 'ui/ux design', 'java', 'rest api', 'android studio']"
